회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
우리금융지주,316140,기타 금융업,금융지주,2019-02-13,12월,손태승,http://www.woorifg.com/,서울특별시
효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,김동우/요코타 타케시,http://www.hyosungheavyindustries.com,서울특별시
HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구",http://www.hdc-dvp.com,서울특별시
애경산업,018250,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등",2018-03-22,12월,채동석,http://www.aekyung.co.kr,서울특별시
셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,기우성,http://www.celltrion.com,인천광역시
SK케미칼,285130,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,"김철, 전광현",http://www.skchemicals.com,경기도
BGF리테일,282330,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시
카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10,12월,"여민수, 조수용",http://www.kakaocorp.com,제주특별자치도
오리온,271560,기타 식품 제조업,스낵 등 과자류,2017-07-07,12월,이경재,http://www.orionworld.com,서울특별시
넷마블,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급,2017-05-12,12월,"권영식, 이승원(각자 대표집행임원)",http://www.netmarble.com,서울특별시
현대중공업지주,267250,석유 정제품 제조업,"산업용 로봇, 클린용 로봇, 조선 기자재 등",2017-05-10,12월,권오갑,http://www.hyundai-holdings.co.kr,서울특별시
두산밥캣,241560,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power",2016-11-18,12월,"스캇성철박, 박상현 (각자대표이사)",http://www.doosanbobcat.com,서울특별시
삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,2016-11-10,12월,김태한,http://www.samsungbiologics.com,인천광역시
동서,026960,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",2016-07-15,12월,김종원,http://www.dongsuh.com,서울특별시
